Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Nat.1,Venue,Date,Results Score,discipline,year,ProfileURL,source
22.0,15:06.84,,Gloria KITE,10 JAN 1998,KEN,2,,"SV 03 Stadion, Tübingen (GER)",16 JUN 2018,1150.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14472836,toplist
23.0,15:07.90,,Abersh MINSEWO,22 FEB 2001,ETH,3,,"SV 03 Stadion, Tübingen (GER)",16 JUN 2018,1148.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14805770,toplist
24.0,15:08.08,,Kalkidan GEZAHEGNE,08 MAY 1991,BRN,1,,Jakarta (INA),28 AUG 2018,1147.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14259836,toplist
25.0,15:08.20,,Marielle HALL,28 JAN 1992,USA,6,,Heusden-Zolder (BEL),21 JUL 2018,1147.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14366610,toplist
26.0,15:08.61,,Rosemary WANJIRU,09 DEC 1994,KEN,1f1,,Hiroshima (JPN),28 APR 2018,1146.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14483460,toplist
27.0,15:09.42,,Eva CHERONO,15 AUG 1996,KEN,4,,"SV 03 Stadion, Tübingen (GER)",16 JUN 2018,1145.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14472835,toplist
28.0,15:09.62,,Vanessa FRASER,27 JUL 1995,USA,7,,Heusden-Zolder (BEL),21 JUL 2018,1144.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14520041,toplist
29.0,15:09.65,,Susan KRUMINS,08 JUL 1986,NED,6,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1144.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14291825,toplist
30.0,15:10.91,,Rina NABESHIMA,16 DEC 1993,JPN,8,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1142.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14520154,toplist
31.0,15:11.00,,Alice Aprot NAWOWUNA,02 JAN 1994,KEN,9,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1142.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14413307,toplist
32.0,15:11.27,,Sarah PAGANO,23 JUL 1991,USA,8,,Heusden-Zolder (BEL),21 JUL 2018,1141.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14366375,toplist
33.0,15:12.17,,Elena BURKARD,10 FEB 1992,GER,5,,"SV 03 Stadion, Tübingen (GER)",16 JUN 2018,1140.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14420240,toplist
34.0,15:13.66,,Emily SISSON,12 OCT 1991,USA,9,,Heusden-Zolder (BEL),21 JUL 2018,1137.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14321386,toplist
35.0,15:13.89,,Teresa MUSSO,2002,KEN,1f3,,Oita (JPN),20 OCT 2018,1136.0,women_5000m,2018,https://worldathletics.org/athletes/kenya/teresa-musso-14946344,toplist
36.0,15:14.78,,Ednah KURGAT,15 JUN 1991,USA,1f1,,"Boston, MA (USA) (i)",01 DEC 2018,1158.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14681942,toplist
37.0,15:15.23,,Lauren PAQUETTE,27 JUN 1986,USA,10,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1134.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14311688,toplist
38.0,15:15.24,,Weini KELATI FREZGHI,01 DEC 1996,ERI,2f1,,"Boston, MA (USA) (i)",01 DEC 2018,1158.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14877184,toplist
39.0,15:15.33,,Meraf BAHTA,24 JUN 1989,SWE,1f2,,"Palo Alto, CA (USA)",03 MAY 2018,1133.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14262200,toplist
40.0,15:15.34,,Beatrice CHEPKOECH,06 JUL 1991,KEN,3,,Nairobi (KEN),23 JUN 2018,1133.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14383286,toplist
41.0,15:15.35,,Andrea SECCAFIEN,27 AUG 1990,CAN,6,,"SV 03 Stadion, Tübingen (GER)",16 JUN 2018,1133.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14267226,toplist
41.0,15:15.35,,Cynthia BAIRE,17 DEC 2002,KEN,2f3,,Oita (JPN),20 OCT 2018,1133.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14863185,toplist
43.0,15:15.47,,Sharon LOKEDI,10 MAR 1994,KEN,3f1,,"Boston, MA (USA) (i)",01 DEC 2018,1157.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14684778,toplist
44.0,15:15.52,,Emily INFELD,21 MAR 1990,USA,1f1,,"Seattle, WA (USA) (i)",09 FEB 2018,0.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14313263,toplist
45.0,15:15.64,,Gwen JORGENSEN,25 APR 1986,USA,2f1,,"Seattle, WA (USA) (i)",09 FEB 2018,0.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14314034,toplist
46.0,15:15.65,,Grace Mbuthye KIMANZI,01 MAR 1992,KEN,2f1,,Hiroshima (JPN),28 APR 2018,1133.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14330100,toplist
47.0,15:15.77,,Jip VASTENBURG,21 MAR 1994,NED,10,,Heusden-Zolder (BEL),21 JUL 2018,1133.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14423990,toplist
48.0,15:15.80,,Nozomi TANAKA,04 SEP 1999,JPN,1f2,,Niigata (JPN),14 OCT 2018,1133.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14632538,toplist
49.0,15:15.88,,Rachel SCHNEIDER,18 JUL 1991,USA,2f2,,"Palo Alto, CA (USA)",03 MAY 2018,1132.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14320785,toplist
50.0,15:16.13,,Ancuţa BOBOCEL,03 OCT 1987,ROU,7,,"Olympiastadion, Berlin (GER)",12 AUG 2018,1132.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14295440,toplist
51.0,15:16.34,,Kate VAN BUSKIRK,09 JUN 1987,CAN,3f2,,"Palo Alto, CA (USA)",03 MAY 2018,1132.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14267049,toplist
52.0,15:16.38,,Allie OSTRANDER,24 DEC 1996,USA,4f1,,"Boston, MA (USA) (i)",01 DEC 2018,1155.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14645999,toplist
53.0,15:16.53,,Hellen Ekalale LOBUN,18 MAR 1999,KEN,1f1,,Nobeoka (JPN),05 MAY 2018,1131.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14786743,toplist
54.0,15:17.47,,Hanna KLEIN,06 APR 1993,GER,1,,Nürnberg (GER),22 JUL 2018,1129.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14360692,toplist
55.0,15:17.81,,Lonah Chemtai SALPETER,12 DEC 1988,ISR,1,,Kortrijk (BEL),14 JUL 2018,1129.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14523502,toplist
56.0,15:17.83,,Joyline CHEROTICH,22 MAR 1998,KEN,3f1,,Nijmegen (NED),08 JUN 2018,1129.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14590700,toplist
57.0,15:18.14,,Linn NILSSON,15 OCT 1990,SWE,4f2,,"Palo Alto, CA (USA)",03 MAY 2018,1128.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14302255,toplist
58.0,15:18.36,,Jessica O'CONNELL,10 FEB 1989,CAN,2,,"Portland, OR (USA)",10 JUN 2018,1128.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14267438,toplist
59.0,15:18.43,,Melissa DUNCAN,30 JAN 1990,AUS,4f1,,Nijmegen (NED),08 JUN 2018,1128.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14272171,toplist
60.0,15:18.77,,Linden HALL,20 JUN 1991,AUS,1,,Glendale (AUS),20 JAN 2018,1127.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14272002,toplist
60.0,15:18.77,,Stephanie TWELL,17 AUG 1989,GBR,5f1,,Nijmegen (NED),08 JUN 2018,1127.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14276601,toplist
62.0,15:18.88,,Katie MACKEY,12 NOV 1987,USA,5f2,,"Palo Alto, CA (USA)",03 MAY 2018,1127.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14310264,toplist
63.0,15:19.11,,Yelena KOROBKINA,25 NOV 1990,RUS,1,,Kazan (RUS),19 JUL 2018,1126.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14298217,toplist
64.0,15:19.61,,Maureen KOSTER,03 JUL 1992,NED,6f2,,"Palo Alto, CA (USA)",03 MAY 2018,1125.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14372338,toplist
65.0,15:20.08,,Yui FUKUDA,01 JUN 1995,JPN,8f2,,"Palo Alto, CA (USA)",03 MAY 2018,1124.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14440510,toplist
66.0,15:20.14,,Naomi MUSSONI,06 DEC 1998,KEN,1f2,,Hiroshima (JPN),28 APR 2018,1124.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14819304,toplist
67.0,15:20.24,,Ann Karindi MWANGI,08 DEC 1988,KEN,3f1,,Hiroshima (JPN),28 APR 2018,1124.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14289075,toplist
68.0,15:20.27,,Martha MOKAYA,12 MAR 2001,KEN,1f7,,Yokohama (JPN),01 DEC 2018,1124.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14700557,toplist
69.0,15:20.56,,Harumi OKAMOTO,07 FEB 1998,JPN,2f7,,Yokohama (JPN),01 DEC 2018,1123.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14659421,toplist
70.0,15:20.66,,Rachel CLIFF,01 APR 1988,CAN,2,,"Los Angeles, CA (USA)",17 MAY 2018,1123.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14268196,toplist
71.0,15:21.31,,Minami YAMANOUCHI,21 DEC 1992,JPN,4f1,,Hiroshima (JPN),28 APR 2018,1122.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14460635,toplist
72.0,15:21.67,,Tabithanjeri KAMAU,03 JUL 2000,KEN,3f7,,Yokohama (JPN),01 DEC 2018,1121.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14767078,toplist
73.0,15:23.44,,Fabienne SCHLUMPF,17 NOV 1990,SUI,5,,Bellinzona (SUI),18 JUL 2018,1118.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14940420,toplist
74.0,15:23.65,,Sinead DIVER,17 FEB 1977,AUS,1,,Geelong (AUS),22 DEC 2018,1118.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14490253,toplist
75.0,15:23.71,,Stephanie GARCIA,03 MAY 1988,USA,12f2,,"Palo Alto, CA (USA)",03 MAY 2018,1117.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14310707,toplist
76.0,15:23.80,,Charlotta FOUGBERG,19 JUN 1985,SWE,12,,Heusden-Zolder (BEL),21 JUL 2018,1117.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14301870,toplist
77.0,15:24.01,,Hitomi NIIYA,26 FEB 1988,JPN,2f2,,Niigata (JPN),14 OCT 2018,1117.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14287407,toplist
78.0,15:24.09,,Yekaterina ISHOVA,17 JAN 1989,RUS,2,,Kazan (RUS),19 JUL 2018,1117.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14297822,toplist
79.0,15:24.16,,Amy-Eloise NEALE,05 AUG 1995,GBR,13f2,,"Palo Alto, CA (USA)",03 MAY 2018,1117.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14404580,toplist
80.0,15:24.32,,Elise CRANNY,09 MAY 1996,USA,5f1,,"Boston, MA (USA) (i)",01 DEC 2018,1140.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14531083,toplist
81.0,15:24.68,,Camille BUSCOMB,11 JUL 1990,NZL,7f1,,Nijmegen (NED),08 JUN 2018,1116.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14292910,toplist
82.0,15:24.70,,Keiko NOGAMI,06 DEC 1985,JPN,4f1,,Nobeoka (JPN),05 MAY 2018,1116.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14327813,toplist
83.0,15:25.30,,Alina REH,23 MAY 1997,GER,2,,Nürnberg (GER),22 JUL 2018,1114.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14507612,toplist
84.0,15:25.35,,Dorcas WASIKE,,KEN,6f1,,"Boston, MA (USA) (i)",01 DEC 2018,1138.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14826369,toplist
85.0,15:25.44,,Margherita MAGNANI,26 FEB 1987,ITA,14f2,,"Palo Alto, CA (USA)",03 MAY 2018,1114.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14284658,toplist
86.0,15:25.84,,Laura WEIGHTMAN,01 JUL 1991,GBR,3,,Gold Coast (AUS),14 APR 2018,1113.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14276688,toplist
87.0,15:26.01,,Charlotte PROUSE,09 FEB 1997,CAN,7f1,,"Boston, MA (USA) (i)",01 DEC 2018,1137.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14551180,toplist
88.0,15:26.58,,Denise KREBS,27 JUN 1987,GER,3,,Nürnberg (GER),22 JUL 2018,1112.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14278507,toplist
89.0,15:26.64,,Yelena SEDOVA,01 MAR 1990,RUS,3,,Kazan (RUS),19 JUL 2018,1112.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14941161,toplist
90.0,15:26.76,,Tomomi Musembi TAKAMATSU,23 FEB 2000,JPN,6f7,,Yokohama (JPN),01 DEC 2018,1112.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14671566,toplist
91.0,15:27.82,,Nicole SIFUENTES,30 JUN 1986,CAN,15f2,,"Palo Alto, CA (USA)",03 MAY 2018,1110.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14268054,toplist
92.0,15:28.07,,Jaci SMITH,05 JAN 1997,USA,8f1,,"Boston, MA (USA) (i)",01 DEC 2018,1133.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14594057,toplist
93.0,15:28.64,,Darya MASLOVA,06 MAY 1995,KGZ,1,,Bishkek (KGZ),17 JUN 2018,1108.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14583875,toplist
94.0,15:29.00,,Mariam WAITHIRA,23 DEC 1996,KEN,4f2,,Osaka (JPN),23 SEP 2018,1107.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14562715,toplist
95.0,15:29.25,,Sarah CHELANGAT,05 JUN 2001,UGA,8f1,,Nijmegen (NED),08 JUN 2018,1107.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14786748,toplist
96.0,15:29.44,,Natasha WODAK,17 DEC 1981,CAN,4,,"Portland, OR (USA)",10 JUN 2018,1107.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14266948,toplist
97.0,15:29.67,,Paulina KACZYŃSKA,24 JUL 1991,POL,7,,"SV 03 Stadion, Tübingen (GER)",16 JUN 2018,1106.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14335735,toplist
98.0,15:30.17,,Juliet CHEKWEL,25 MAY 1990,UGA,4,,Gold Coast (AUS),14 APR 2018,1105.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14940422,toplist
99.0,15:30.39,,Fantu WORKU,29 MAR 1999,ETH,1,,Marseille (FRA),16 JUN 2018,1105.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14751322,toplist
100.0,15:30.59,,Emelia GORECKA,29 JAN 1994,GBR,16f2,,"Palo Alto, CA (USA)",03 MAY 2018,1104.0,women_5000m,2018,https://worldathletics.org/athletes/athlete=14329408,toplist
1.0,14:20.36,,Hellen OBIRI,13 DEC 1989,KEN,1,,"Olympic Stadium, London (GBR)",21 JUL 2019,1241.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14424921,toplist
2.0,14:20.68,,Agnes Jebet TIROP,23 OCT 1995,KEN,2,,"Olympic Stadium, London (GBR)",21 JUL 2019,1241.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14289007,toplist
3.0,14:22.12,,Sifan HASSAN,01 JAN 1993,NED,3,,"Olympic Stadium, London (GBR)",21 JUL 2019,1238.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14489606,toplist
4.0,14:26.76,,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,1,,Berlin (GER),03 AUG 2019,1228.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14496249,toplist
5.0,14:27.49,,Margaret Chelimo KIPKEMBOI,09 FEB 1993,KEN,2,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1227.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14375882,toplist
6.0,14:29.54,,Letesenbet GIDEY,20 MAR 1998,ETH,2,,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2019,1223.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14654918,toplist
7.0,14:29.60,,Tsehay GEMECHU,12 DEC 1998,ETH,4,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1223.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14790676,toplist
8.0,14:36.05,,Lilian Kasait RENGERUK,03 MAY 1997,KEN,5,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1210.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14590678,toplist
9.0,14:36.10,,Caroline Chepkoech KIPKIRUI,26 MAY 1994,KEN,5,,"Olympic Stadium, London (GBR)",21 JUL 2019,1210.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14423904,toplist
10.0,14:38.76,,Hawi FEYSA,01 FEB 1999,ETH,3,,"FBK Stadium, Hengelo (NED)",09 JUN 2019,1205.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14786742,toplist
11.0,14:40.25,,Eva CHERONO,15 AUG 1996,KEN,6,,"Olympic Stadium, London (GBR)",21 JUL 2019,1202.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14472835,toplist
12.0,14:40.47,,Fantu WORKU,29 MAR 1999,ETH,6,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1201.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14751322,toplist
13.0,14:44.12,,Gabriela DEBUES-STAFFORD,13 SEP 1995,CAN,7,,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2019,1194.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14501531,toplist
14.0,14:44.57,,Laura WEIGHTMAN,01 JUL 1991,GBR,7,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1193.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14276688,toplist
15.0,14:45.18,,Karissa SCHWEIZER,04 MAY 1996,USA,9,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1192.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14470567,toplist
16.0,14:46.12,,Beatrice CHEBET,05 MAR 2000,KEN,7,,"Olympic Stadium, London (GBR)",21 JUL 2019,1190.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14749924,toplist
17.0,14:46.17,,Eilish MCCOLGAN,25 NOV 1990,GBR,10,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1190.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14275729,toplist
18.0,14:46.58,,Beatrice CHEPKOECH,06 JUL 1991,KEN,9,,"Boudewijnstadion, Bruxelles (BEL)",06 SEP 2019,1189.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14383286,toplist
19.0,14:49.22,,Gloria KITE,10 JAN 1998,KEN,9,,"Olympic Stadium, London (GBR)",21 JUL 2019,1184.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14472836,toplist
20.0,14:51.66,,Karoline Bjerkeli GRØVDAL,14 JUN 1990,NOR,11,,"Olympic Stadium, London (GBR)",21 JUL 2019,1179.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14292573,toplist
21.0,14:51.72,,Daisy JEPKEMEI,13 FEB 1996,KEN,1,,"Olympiastadion, Berlin (GER)",01 SEP 2019,1179.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14530633,toplist
22.0,14:51.73,,Norah JERUTO,02 OCT 1995,KEN,2,,"Olympiastadion, Berlin (GER)",01 SEP 2019,1179.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14479154,toplist
23.0,14:52.02,,Laura MUIR,09 MAY 1993,GBR,1,,Glasgow (GBR) (i),04 JAN 2019,1203.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14422111,toplist
24.0,14:53.16,,Ejgayehu TAYE,10 FEB 2000,ETH,1,,Heusden-Zolder (BEL),20 JUL 2019,1176.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14848746,toplist
25.0,14:53.82,,Melissa COURTNEY-BRYANT,30 AUG 1993,GBR,8,,"Olympiastadion, Stockholm (SWE)",30 MAY 2019,1175.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14274781,toplist
26.0,14:53.92,,Yasemin CAN,11 DEC 1996,TUR,9,,"Olympiastadion, Stockholm (SWE)",30 MAY 2019,1175.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14601536,toplist
27.0,14:57.80,,Janet KISA,05 DEC 1992,KEN,6,,"FBK Stadium, Hengelo (NED)",09 JUN 2019,1167.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14423914,toplist
28.0,14:58.17,,Ellinor PURRIER,20 FEB 1995,USA,11,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1167.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14627694,toplist
29.0,14:58.59,,Camille BUSCOMB,11 JUL 1990,NZL,12,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1166.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14292910,toplist
30.0,14:59.02,,Lonah Chemtai SALPETER,12 DEC 1988,ISR,14,,"Olympic Stadium, London (GBR)",21 JUL 2019,1165.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14523502,toplist
31.0,14:59.08,,Dominique SCOTT,24 JUN 1992,RSA,15,,"Olympic Stadium, London (GBR)",21 JUL 2019,1165.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14941416,toplist
32.0,14:59.95,,Andrea SECCAFIEN,27 AUG 1990,CAN,13,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1163.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14267226,toplist
33.0,15:00.01,,Nozomi TANAKA,04 SEP 1999,JPN,14,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1163.0,women_5000m,2019,https://worldathletics.org/athletes/athlete=14632538,toplist
