Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score,discipline,year,ProfileURL
32,15:35.82,,Airi MASHIBA,10 NOV 2007,JPN,16,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1095,women_5000m,2026,https://worldathletics.org/athletes/japan/airi-mashiba-14995755
33,15:36.05,,Mao KIMURA,02 APR 2007,JPN,1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",30 MAY 2026,1094,women_5000m,2026,https://worldathletics.org/athletes/japan/mao-kimura-15168277
34,15:36.72,,Mao KOGURE,31 AUG 2002,JPN,17,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1093,women_5000m,2026,https://worldathletics.org/athletes/athlete=14897026
35,15:39.51,,Yuka ANDO,16 MAR 1994,JPN,19,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1088,women_5000m,2026,https://worldathletics.org/athletes/athlete=14419637
36,15:39.92,,Aoba KOUDA,16 JUN 2006,JPN,6f1,,"Municipal Stadium, Kitami (JPN)",11 JUL 2026,1087,women_5000m,2026,https://worldathletics.org/athletes/japan/aoba-kouda-15050483
37,15:40.84,,Yuiri OGATA,02 MAY 2002,JPN,20,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1085,women_5000m,2026,https://worldathletics.org/athletes/athlete=14860667
38,15:40.90,,Kaho HORIO,31 JUL 1999,JPN,5f1,,"Athletics Stadium, Shibetsu (JPN)",18 JUL 2026,1085,women_5000m,2026,https://worldathletics.org/athletes/athlete=14911744
39,15:41.94,,Amisa MURAYAMA,30 MAY 2004,JPN,8f1,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2026,1083,women_5000m,2026,https://worldathletics.org/athletes/athlete=14920012
40,15:42.54,,Mizuki MATSUDA,31 MAY 1995,JPN,2f2,,"Takebishi Stadium, Kyoto (JPN)",24 MAY 2026,1082,women_5000m,2026,https://worldathletics.org/athletes/athlete=14548272
41,15:43.02,,Miu YAGI,22 SEP 2003,JPN,6f1,,"Athletics Stadium, Shibetsu (JPN)",18 JUL 2026,1081,women_5000m,2026,https://worldathletics.org/athletes/athlete=14895641
42,15:43.73,,Sara ISOBE,19 DEC 2003,JPN,1,,"Nagaragawa Stadium, Gifu (JPN)",10 MAY 2026,1080,women_5000m,2026,https://worldathletics.org/athletes/japan/sara-isobe-14946223
43,15:43.90,,Kyo HONMA,12 SEP 2006,JPN,3,,"Kanseki Stadium, Utsunomiya (JPN)",24 MAY 2026,1079,women_5000m,2026,https://worldathletics.org/athletes/japan/kyo-honma-15049085
44,15:44.03,,Hisami ISHII,10 AUG 1995,JPN,1,,"Universiade Commemorative Stadium, Kobe (JPN)",18 APR 2026,1079,women_5000m,2026,https://worldathletics.org/athletes/athlete=14641817
45,15:44.08,,Kaho HONDA,18 MAR 2010,JPN,1f2,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2026,1079,women_5000m,2026,https://worldathletics.org/athletes/japan/kaho-honda-15235187
46,15:44.12,,Qingqing LI,28 JAN 2004,CHN,9,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1079,women_5000m,2026,https://worldathletics.org/athletes/pr-of-china/qingqing-li-15084891
47,15:44.16,,Sayo IMANISHI,12 OCT 2006,JPN,12,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1079,women_5000m,2026,https://worldathletics.org/athletes/athlete=14930748
48,15:44.92,,Hitomi NIIYA,26 FEB 1988,JPN,f2,,"Takebishi Stadium, Kyoto (JPN)",24 MAY 2026,1078,women_5000m,2026,https://worldathletics.org/athletes/athlete=14287407
49,15:44.95,,Sakiho TSUTSUI,19 JAN 1996,JPN,14,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1077,women_5000m,2026,https://worldathletics.org/athletes/athlete=14641812
50,15:45.09,,Miki HIRAI,12 FEB 1996,JPN,7f1,,"Municipal Stadium, Kitami (JPN)",11 JUL 2026,1077,women_5000m,2026,https://worldathletics.org/athletes/athlete=14501142
51,15:45.35,,Rio EINAGA,15 JUN 2002,JPN,15,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1077,women_5000m,2026,https://worldathletics.org/athletes/athlete=14923028
52,15:46.45,,. BHARTI,01 JAN 1997,IND,2,,"Kalinga Stadium, Bhubaneshwar (IND)",22 AUG 2026,1075,women_5000m,2026,https://worldathletics.org/athletes/athlete=14916452
53,15:46.78,,Yujin KIM,21 JUL 1996,KOR,16,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1074,women_5000m,2026,https://worldathletics.org/athletes/athlete=14532349
54,15:47.15,,Narumi OKUMOTO,27 FEB 2006,JPN,9f1,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1073,women_5000m,2026,https://worldathletics.org/athletes/japan/narumi-okumoto-14983161
55,15:47.45,,Natsume YAMAGIWA,24 JUL 2002,JPN,2f2,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1073,women_5000m,2026,https://worldathletics.org/athletes/athlete=14895635
56,15:47.60,,Shiho TACHIZAKO,26 DEC 2003,JPN,1,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",25 APR 2026,1073,women_5000m,2026,https://worldathletics.org/athletes/japan/shiho-tachizako-14956139
57,15:47.76,,Pak Sol GYONG,04 JAN 2006,PRK,1,,"Banqiao Stadium, New Taipei City (TPE)",07 JUN 2026,1072,women_5000m,2026,https://worldathletics.org/athletes/dpr-of-korea/pak-sol-gyong-15159898
58,15:49.15,,Mao UESUGI,16 AUG 1995,JPN,5f1,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1070,women_5000m,2026,https://worldathletics.org/athletes/athlete=14686449
59,15:49.54,,Miyaka SUGATA,09 MAR 2001,JPN,21,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1069,women_5000m,2026,https://worldathletics.org/athletes/athlete=14793340
60,15:49.97,,Mitsu OZAKI,12 DEC 2003,JPN,18,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1068,women_5000m,2026,https://worldathletics.org/athletes/athlete=14895612
61,15:50.47,,Anna SUZUKI,23 MAR 2002,JPN,19,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1067,women_5000m,2026,https://worldathletics.org/athletes/athlete=14904614
62,15:51.21,,Harumi OKAMOTO,07 FEB 1998,JPN,2,,"Nagaragawa Stadium, Gifu (JPN)",10 MAY 2026,1066,women_5000m,2026,https://worldathletics.org/athletes/athlete=14659421
63,15:53.62,,Riko IIJIMA,27 APR 2000,JPN,7f1,,"Athletics Stadium, Shibetsu (JPN)",18 JUL 2026,1061,women_5000m,2026,https://worldathletics.org/athletes/athlete=14780842
64,15:53.87,,Kotone NIWA,15 DEC 2003,JPN,8f1,,"Athletics Stadium, Shibetsu (JPN)",18 JUL 2026,1061,women_5000m,2026,https://worldathletics.org/athletes/japan/kotone-niwa-14956389
65,15:53.88,,Yuan LI,03 MAR 2006,CHN,10,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1061,women_5000m,2026,https://worldathletics.org/athletes/pr-of-china/yuan-li-15072977
66,15:53.98,,XiuZhen MA,05 JUL 2000,CHN,1,,"Hubei Olympic Sports Center, Wuhan (CHN)",11 APR 2026,1061,women_5000m,2026,https://worldathletics.org/athletes/pr-of-china/xiuzhen-ma-14977274
67,15:54.27,,Kurumi YODA,29 MAY 2002,JPN,9f1,,"Municipal Stadium, Kitami (JPN)",11 JUL 2026,1060,women_5000m,2026,https://worldathletics.org/athletes/athlete=14887772
68,15:55.07,,Misaki ICHIDA,07 AUG 1991,JPN,9f1,,"Athletics Stadium, Shibetsu (JPN)",18 JUL 2026,1059,women_5000m,2026,https://worldathletics.org/athletes/athlete=14545091
69,15:55.08,,Ruka USUI,20 MAR 2007,JPN,1f2,,"Athletic Track, Abashiri (JPN)",12 JUL 2026,1059,women_5000m,2026,https://worldathletics.org/athletes/japan/ruka-usui-14962539
70,15:55.16,,Rina SASAKI,18 JAN 2002,JPN,16f3,,"Egao Kenko Stadium, Kumamoto (JPN)",11 APR 2026,1059,women_5000m,2026,https://worldathletics.org/athletes/japan/rina-sasaki-15024484
71,15:55.70,,Yuna KYUKI,18 NOV 2000,JPN,1f2,,"Municipal Stadium, Kitami (JPN)",11 JUL 2026,1058,women_5000m,2026,https://worldathletics.org/athletes/athlete=14899046
72,15:56.01,,Saki HARADA,26 OCT 2003,JPN,10f1,,"Athletics Stadium, Shibetsu (JPN)",18 JUL 2026,1057,women_5000m,2026,https://worldathletics.org/athletes/japan/saki-harada-14947132
73,15:56.32,,Ayu HENMI,31 AUG 2000,JPN,3,,"Universiade Commemorative Stadium, Kobe (JPN)",18 APR 2026,1056,women_5000m,2026,https://worldathletics.org/athletes/athlete=14858009
74,15:56.61,,Mayuka FUJITA,14 SEP 1999,JPN,11f1,,"Athletics Stadium, Shibetsu (JPN)",18 JUL 2026,1056,women_5000m,2026,https://worldathletics.org/athletes/athlete=14856320
75,15:56.76,,Rio WAKAI,03 SEP 1999,JPN,6f1,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1056,women_5000m,2026,https://worldathletics.org/athletes/japan/rio-wakai-14962715
76,15:56.87,,Airi TAJIMA,09 AUG 2004,JPN,1,,"International Stadium, Yokohama (JPN)",06 SEP 2026,1055,women_5000m,2026,https://worldathletics.org/athletes/japan/airi-tajima-14980474
77,15:57.18,,Maki IZUMIDA,22 JAN 1996,JPN,22,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1055,women_5000m,2026,https://worldathletics.org/athletes/athlete=14499989
78,15:57.50,,Sayaka SATO,27 MAY 1994,JPN,10f2,,"ND Soft Stadium, Tendo (JPN)",17 MAY 2026,1054,women_5000m,2026,https://worldathletics.org/athletes/athlete=14594119
79,15:57.76,,Ayumi MORITA,17 APR 1996,JPN,8f1,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1054,women_5000m,2026,https://worldathletics.org/athletes/athlete=14809702
80,15:58.07,,Nanase TANIMOTO,02 JUN 2002,JPN,3f2,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2026,1053,women_5000m,2026,https://worldathletics.org/athletes/japan/nanase-tanimoto-14949233
81,15:58.56,,Sakura NISHIO,11 MAR 1999,JPN,4f2,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2026,1052,women_5000m,2026,https://worldathletics.org/athletes/japan/sakura-nishio-14747892
81,15:58.56,,Kaho ONISHI,20 JUL 2000,JPN,5f2,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2026,1052,women_5000m,2026,https://worldathletics.org/athletes/athlete=14868880
83,15:58.64,,Rina SHIMIZU,05 OCT 1999,JPN,4,,"Universiade Commemorative Stadium, Kobe (JPN)",18 APR 2026,1052,women_5000m,2026,https://worldathletics.org/athletes/athlete=14898846
83,15:58.64,,Yura TANAKA,12 DEC 2005,JPN,5,,"Kanseki Stadium, Utsunomiya (JPN)",24 MAY 2026,1052,women_5000m,2026,https://worldathletics.org/athletes/japan/yura-tanaka-15005156
85,15:58.66,,Mariya NODA,02 SEP 2004,JPN,2,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",13 JUN 2026,1052,women_5000m,2026,https://worldathletics.org/athletes/japan/mariya-noda-14950942
86,15:58.93,,Yuna TAKAHASHI,28 MAR 1999,JPN,23,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1052,women_5000m,2026,https://worldathletics.org/athletes/athlete=14728013
87,15:58.96,,Kokona SUENAGA,22 AUG 2002,JPN,12f1,,"Municipal Stadium, Kitami (JPN)",11 JUL 2026,1051,women_5000m,2026,https://worldathletics.org/athletes/athlete=14865982
88,15:59.30,,Wakana ITSUKI,07 APR 1994,JPN,6f2,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2026,1051,women_5000m,2026,https://worldathletics.org/athletes/athlete=14557262
89,15:59.56,,Nozomi KONDO,20 JUL 2005,JPN,10f1,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1050,women_5000m,2026,https://worldathletics.org/athletes/japan/nozomi-kondo-15001068
90,15:59.60,,Yua TSUKAMOTO,19 OCT 2006,JPN,12f1,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1050,women_5000m,2026,https://worldathletics.org/athletes/japan/yua-tsukamoto-14969032
91,15:59.99,,Arisu FUWA,24 NOV 1999,JPN,3,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",13 JUN 2026,1050,women_5000m,2026,https://worldathletics.org/athletes/athlete=14719663
92,16:00.00,,Yui KOMATSU,08 JAN 2001,JPN,3,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",25 APR 2026,1050,women_5000m,2026,https://worldathletics.org/athletes/athlete=14895633
93,16:00.09,,Hikaru KITAGAWA,24 NOV 2001,JPN,5,,"Universiade Commemorative Stadium, Kobe (JPN)",18 APR 2026,1049,women_5000m,2026,https://worldathletics.org/athletes/athlete=14855581
94,16:00.15,,Rika SHIBATA,23 MAR 2003,JPN,4,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",25 APR 2026,1049,women_5000m,2026,https://worldathletics.org/athletes/japan/rika-shibata-14946122
95,16:00.31,,Azusa SUMI,12 AUG 1996,JPN,13f1,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1049,women_5000m,2026,https://worldathletics.org/athletes/athlete=14524081
96,16:00.52,,Aika FUKUNAGA,25 MAR 2003,JPN,15f1,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1049,women_5000m,2026,https://worldathletics.org/athletes/japan/aika-fukunaga-14957078
96,16:00.52,,Youe YANG,09 OCT 2008,CHN,11,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1049,women_5000m,2026,https://worldathletics.org/athletes/pr-of-china/youe-yang-15314812
98,16:01.05,,Ichigo ISHIKAWA,05 APR 2004,JPN,2f2,,"Athletic Track, Abashiri (JPN)",12 JUL 2026,1048,women_5000m,2026,https://worldathletics.org/athletes/japan/ichigo-ishikawa-14945728
99,16:01.09,,Jingya LIU,25 NOV 2002,CHN,2,,"Guoxin Sports Center, Qingdao (CHN)",15 MAY 2026,1048,women_5000m,2026,https://worldathletics.org/athletes/athlete=14857401
100,16:01.47,,Haruru ASAHI,02 APR 1999,JPN,1f2,,"Athletic Track, Abashiri (JPN)",08 JUL 2026,1047,women_5000m,2026,https://worldathletics.org/athletes/athlete=14767061
101,16:01.90,,Shuanglu PAN,14 APR 2007,CHN,12,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1046,women_5000m,2026,https://worldathletics.org/athletes/pr-of-china/shuanglu-pan-15155551
102,16:02.09,,Minami YAMANOUCHI,21 DEC 1992,JPN,14f1,,"Municipal Stadium, Kitami (JPN)",11 JUL 2026,1046,women_5000m,2026,https://worldathletics.org/athletes/athlete=14460635
103,16:02.76,,Honoka TANAIKE,21 MAR 1997,JPN,7f2,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2026,1044,women_5000m,2026,https://worldathletics.org/athletes/athlete=14722786
104,16:03.17,,Akari MATSUMOTO,23 FEB 2005,JPN,16f1,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1044,women_5000m,2026,https://worldathletics.org/athletes/athlete=14899672
105,16:03.38,,Kokoro NAKACHI,17 JUN 2002,JPN,15f1,,"Municipal Stadium, Kitami (JPN)",11 JUL 2026,1043,women_5000m,2026,https://worldathletics.org/athletes/japan/kokoro-nakachi-14958135
106,16:03.54,,Shiori ISHIGAMI,25 SEP 2004,JPN,4,,"International Stadium, Yokohama (JPN)",06 SEP 2026,1043,women_5000m,2026,https://worldathletics.org/athletes/athlete=14900312
107,16:03.70,,Seira FUWA,25 MAR 2003,JPN,5,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",25 APR 2026,1043,women_5000m,2026,https://worldathletics.org/athletes/athlete=14813846
108,16:03.94,,Doyeon KIM,02 SEP 1993,KOR,1,,"Mokpo Sports Complex, Mokpo (KOR)",02 MAY 2026,1042,women_5000m,2026,https://worldathletics.org/athletes/athlete=14375436
109,16:04.15,,Hakua SAKUMA,14 JUN 2004,JPN,3f2,,"Municipal Stadium, Kitami (JPN)",11 JUL 2026,1042,women_5000m,2026,https://worldathletics.org/athletes/japan/hakua-sakuma-14998478
110,16:04.67,,Mayu NISHIKAWA,27 MAR 1997,JPN,4,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",13 JUN 2026,1041,women_5000m,2026,https://worldathletics.org/athletes/athlete=14809687
111,16:04.80,,Ayami YOSHIDA,11 OCT 2007,JPN,22,,"Municipal Mizuho Stadium, Nagoya (JPN)",12 JUN 2026,1041,women_5000m,2026,https://worldathletics.org/athletes/japan/ayami-yoshida-15050389
112,16:04.84,,Misaki SHITAMORI,04 AUG 2005,JPN,17f1,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1041,women_5000m,2026,https://worldathletics.org/athletes/japan/misaki-shitamori-14961631
113,16:04.88,,Rinon AKITAKE,30 OCT 2006,JPN,5,,"International Stadium, Yokohama (JPN)",06 SEP 2026,1041,women_5000m,2026,https://worldathletics.org/athletes/japan/rinon-akitake-14979739
114,16:05.34,,Airi TASHIMA,08 JAN 2005,JPN,3f2,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1040,women_5000m,2026,https://worldathletics.org/athletes/japan/airi-tashima-14956133
115,16:05.39,,Min LIU,22 DEC 1997,CHN,13,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1040,women_5000m,2026,https://worldathletics.org/athletes/athlete=14908056
116,16:05.51,,Yiting YANG,15 MAR 2004,CHN,5,,"Sports Center, Quzhou (CHN)",12 AUG 2026,1039,women_5000m,2026,https://worldathletics.org/athletes/pr-of-china/yiting-yang-14983614
117,16:05.55,,Ayano SATO,01 OCT 2004,JPN,8,,"Kanseki Stadium, Utsunomiya (JPN)",24 MAY 2026,1039,women_5000m,2026,https://worldathletics.org/athletes/japan/ayano-sato-14966131
118,16:05.62,,Haruka OGAWA,02 MAY 2004,JPN,6,,"International Stadium, Yokohama (JPN)",06 SEP 2026,1039,women_5000m,2026,https://worldathletics.org/athletes/athlete=14921656
119,16:05.70,,Yu HAYASAKA,13 SEP 2005,JPN,5,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",13 JUN 2026,1039,women_5000m,2026,https://worldathletics.org/athletes/japan/yu-hayasaka-15047901
119,16:05.70,,Hina TADA,03 MAY 2004,JPN,16f1,,"Municipal Stadium, Kitami (JPN)",11 JUL 2026,1039,women_5000m,2026,https://worldathletics.org/athletes/japan/hina-tada-14979870
121,16:05.73,,Jiahui NIU,09 SEP 2000,CHN,1f3,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2026,1039,women_5000m,2026,https://worldathletics.org/athletes/athlete=14855608
122,16:05.92,,Jiahui CHEN,28 JAN 2003,CHN,3,,"Guoxin Sports Center, Qingdao (CHN)",15 MAY 2026,1039,women_5000m,2026,https://worldathletics.org/athletes/athlete=14893316
123,16:05.94,,Kaede RIKIMARU,01 NOV 2004,JPN,7,,"International Stadium, Yokohama (JPN)",06 SEP 2026,1039,women_5000m,2026,https://worldathletics.org/athletes/japan/kaede-rikimaru-14952499
124,16:06.24,,Ni SHEN,29 NOV 1998,CHN,14,,"Kuishan Sports Center, Rizhao (CHN)",26 JUN 2026,1038,women_5000m,2026,https://worldathletics.org/athletes/athlete=14893307
125,16:06.40,,Koharu TAKEDA,08 MAY 2005,JPN,8,,"International Stadium, Yokohama (JPN)",06 SEP 2026,1038,women_5000m,2026,https://worldathletics.org/athletes/japan/koharu-takeda-15000242
126,16:06.54,,Yuna FURUSAWA,19 OCT 2006,JPN,9,,"International Stadium, Yokohama (JPN)",06 SEP 2026,1038,women_5000m,2026,https://worldathletics.org/athletes/japan/yuna-furusawa-15048532
127,16:06.72,,Panpan WANG,17 JUN 2003,CHN,7,,"Sports Center, Quzhou (CHN)",12 AUG 2026,1037,women_5000m,2026,https://worldathletics.org/athletes/athlete=14885772
128,16:07.20,,Asahi SHIRAKAWA,28 SEP 2005,JPN,18f1,,"Municipal Stadium, Kitami (JPN)",11 JUL 2026,1036,women_5000m,2026,https://worldathletics.org/athletes/athlete=14919445
129,16:07.94,,Miyu KUBO,17 FEB 2004,JPN,2f3,,"Nishishina Athletic Stadium, Nobeoka (JPN)",04 MAY 2026,1035,women_5000m,2026,https://worldathletics.org/athletes/japan/miyu-kubo-14946245
130,16:08.37,,Asuka ITO,06 AUG 1999,JPN,5f2,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2026,1034,women_5000m,2026,https://worldathletics.org/athletes/athlete=14853618
131,16:08.40,,Yume YABUTANI,04 JAN 2008,JPN,10,,"International Stadium, Yokohama (JPN)",06 SEP 2026,1034,women_5000m,2026,https://worldathletics.org/athletes/japan/yume-yabutani-15003541
132,16:08.57,,Natsu HASHIMOTO,29 NOV 1997,JPN,7,,"Universiade Commemorative Stadium, Kobe (JPN)",18 APR 2026,1034,women_5000m,2026,https://worldathletics.org/athletes/athlete=14719668
